小区,户型,面积,价格,单价,朝向,电梯,位置,地铁
印象春城,2室1厅1厨1卫,87.9㎡,388,44142元/平米,南,有,浦东 周浦 外环外,
绿地东上海二期,2室2厅0厨1卫,91.35㎡,459,50247元/平米,南 北,有,浦东 周浦 外环外,
明天华城,2室2厅1厨1卫,87.86㎡,450,51218元/平米,南,有,浦东 周浦 外环外,
金利公寓,2室2厅0厨1卫,87.66㎡,345,39357元/平米,南 北,无,浦东 唐镇 外环外,
印象春城,2室2厅1厨1卫,89.29㎡,439,49166元/平米,南,有,浦东 周浦 外环外,
沈默花苑,2室2厅1厨1卫,102.37㎡,390,38098元/平米,南,有,浦东 周浦 外环外,
菱翔苑,2室1厅1厨1卫,72.8㎡,350,48077元/平米,南,无,浦东 周浦 外环外,
浦发绿城永泰路1960弄,3室2厅1厨1卫,93.81㎡,419,44665元/平米,南,无,浦东 三林 ,近11号线(花桥-迪士尼)浦三路站
东方冠郡,2室2厅1厨1卫,99.66㎡,318,31909元/平米,南,有,浦东 新场 外环外,
金领国际(公寓),2室2厅1厨1卫,86.28㎡,320,37089元/平米,南,有,浦东 曹路 外环外,
绿地香颂(浦东)(公寓),3室2厅1厨1卫,87.78㎡,480,54683元/平米,南,有,浦东 三林 外环外,
迎亭公寓,2室2厅1厨1卫,90.31㎡,418,46286元/平米,南,无,浦东 高行 中环至外环,
莱阳新家园,3室1厅1厨1卫,89.27㎡,395,44248元/平米,南,无,浦东 金桥 中环至外环,近12号线东陆路站
新高苑(三期),2室2厅1厨1卫,89.51㎡,433,48375元/平米,南,有,浦东 高行 ,
达城锦园,3室1厅1厨1卫,95.75㎡,355,37076元/平米,南,有,浦东 康桥 外环外,
欧风家园,3室2厅1厨2卫,94.59㎡,310,32774元/平米,南,无,浦东 周浦 外环外,
城中花园,3室2厅1厨2卫,96.7㎡,473,48915元/平米,南,有,浦东 康桥 外环外,
绿川新苑,2室2厅1厨1卫,82.44㎡,409,49612元/平米,南,无,浦东 北蔡 内环至中环,
汇丽苑,2室1厅1厨1卫,77.98㎡,315,40395元/平米,南,无,浦东 周浦 外环外,
中海御景熙岸(公寓),3室2厅1厨1卫,88.41㎡,470,53162元/平米,东 南,有,浦东 三林 外环外,
保利金色唐城,2室1厅1厨1卫,84.71㎡,418,49345元/平米,南,无,浦东 唐镇 外环外,
南郊花园(公寓),2室2厅1厨1卫,92.81㎡,415,44716元/平米,南 北,无,浦东 周浦 外环外,
聚龙家园,2室1厅1厨1卫,75.75㎡,410,54126元/平米,南,无,浦东 北蔡 内环至中环,
浦发绿城浦三路2801弄,2室1厅1厨1卫,75.11㎡,348,46333元/平米,南,无,浦东 三林 中环至外环,近11号线(花桥-迪士尼)浦三路站
浦发绿城永泰路2079弄,3室2厅1厨1卫,93.19㎡,448,48074元/平米,南,无,浦东 三林 ,近11号线(花桥-迪士尼)浦三路站
今达花园,2室1厅1厨1卫,82.34㎡,485,58903元/平米,南 北,有,浦东 金桥 中环至外环,近6号线金桥路站
保利林语溪(公寓),2室1厅1厨1卫,89.66㎡,450,50190元/平米,南,有,浦东 三林 外环外,
盛世春晓苑,2室1厅1厨1卫,81.76㎡,327,39996元/平米,南,有,浦东 曹路 外环外,
丰舍西苑,3室2厅1厨1卫,109㎡,398,36514元/平米,南 北,无,浦东 曹路 外环外,
城中花园,2室2厅1厨1卫,104.47㎡,415,39725元/平米,南,有,浦东 康桥 外环外,
绿地崴廉公寓,2室2厅1厨1卫,88.16㎡,475,53880元/平米,南,有,浦东 高行 中环至外环,
康桥宝邸,2室2厅1厨2卫,74.61㎡,308,41282元/平米,南 北,无,浦东 康桥 外环外,
建业新村,2室2厅1厨1卫,91.37㎡,490,53629元/平米,南,无,浦东 南码头 内环至中环,近7号线杨高南路站
铂庭俱进家园,2室2厅1厨1卫,87.68㎡,450,51323元/平米,南,有,浦东 高行 中环至外环,
达城锦园,2室2厅1厨1卫,75.84㎡,316,41667元/平米,南,有,浦东 康桥 外环外,
浦发绿城永泰路1960弄,2室2厅1厨1卫,71.99㎡,350,48618元/平米,南,无,浦东 三林 ,近11号线(花桥-迪士尼)浦三路站
中海御景熙岸(公寓),2室2厅1厨1卫,87.16㎡,430,49335元/平米,南,有,浦东 三林 外环外,
保利金爵公寓,2室2厅1厨1卫,91.56㎡,486,53080元/平米,南 北,有,浦东 唐镇 外环外,
浦江东旭公寓626弄,2室2厅1厨1卫,74.83㎡,396,52920元/平米,南,有,浦东 高行 ,近6号线东靖路站
瑞阳苑,3室2厅1厨1卫,89.52㎡,358,39992元/平米,南,无,浦东 周浦 外环外,
浦发绿城浦三路2801弄,2室2厅1厨1卫,75㎡,350,46667元/平米,南 北,无,浦东 三林 中环至外环,近11号线(花桥-迪士尼)浦三路站
惠浦公寓,2室2厅1厨1卫,86㎡,350,40698元/平米,南,无,浦东 周浦 外环外,
海尚乐苑,2室1厅1厨1卫,79㎡,315,39874元/平米,南 北,有,浦东 康桥 外环外,近16号线周浦东站
星金家园,2室2厅1厨1卫,82.13㎡,320,38963元/平米,南,有,浦东 曹路 外环外,近9号线曹路站
金巷小区,2室1厅1厨1卫,90.69㎡,370,40799元/平米,西北,有,浦东 金桥 中环至外环,近9号线台儿庄路站
莎海公寓,2室2厅1厨1卫,91.51㎡,315,34423元/平米,南,无,浦东 周浦 外环外,
彩虹雅苑,2室2厅1厨1卫,107.05㎡,300,28025元/平米,南,有,浦东 惠南 外环外,
长岛公寓,2室2厅1厨1卫,93㎡,380,40861元/平米,南,有,浦东 金桥 中环至外环,
心圆西苑,3室1厅1厨1卫,100.06㎡,395,39477元/平米,暂无数据,有,浦东 川沙 外环外,
浦发绿城浦三路2801弄,2室1厅1厨1卫,74.98㎡,358,47747元/平米,南 北,无,浦东 三林 中环至外环,近11号线(花桥-迪士尼)浦三路站
绿洲康城亲水湾(东区),2室2厅1厨1卫,90.29㎡,405,44856元/平米,南,有,浦东 御桥 ,
双秀西园,2室2厅1厨1卫,85.86㎡,360,41929元/平米,南,无,浦东 康桥 外环外,
星颂家园,3室2厅1厨1卫,99.38㎡,405,40753元/平米,南,有,浦东 曹路 外环外,
保利金爵公寓,2室2厅1厨1卫,87㎡,460,52874元/平米,南,有,浦东 唐镇 外环外,
绿洲康城亲水湾(中央区),2室1厅1厨1卫,80.08㎡,435,54321元/平米,南,有,浦东 御桥 中环至外环,
中海御景熙岸(公寓),2室2厅1厨1卫,82.3㎡,420,51033元/平米,南 北,有,浦东 三林 外环外,
三林世博家园(大道站路94弄),2室2厅1厨1卫,84㎡,430,51191元/平米,南,无,浦东 杨思前滩 内环至中环,
新高苑(一期),2室2厅1厨1卫,85㎡,430,50589元/平米,南,无,浦东 高行 中环至外环,
东方悦居,2室1厅1厨1卫,76㎡,480,63158元/平米,南,有,浦东 杨思前滩 内环至中环,
金钻苑北区,2室2厅1厨2卫,90.86㎡,369,40612元/平米,南,无,浦东 曹路 外环外,近9号线曹路站
龙泽家园,2室2厅1厨1卫,108.63㎡,490,45108元/平米,南,有,浦东 周浦 外环外,
齐锦苑,2室1厅1厨1卫,71.38㎡,430,60241元/平米,南 北,有,浦东 世博 内环至中环,近7号线杨高南路站
东方冠郡,2室2厅1厨1卫,99.7㎡,310,31094元/平米,南,有,浦东 新场 外环外,
新川苑,2室1厅1厨1卫,83.28㎡,315,37825元/平米,南,无,浦东 川沙 外环外,
东方冠郡,2室2厅0厨1卫,99.44㎡,305,30672元/平米,南,有,浦东 新场 外环外,
绿地东上海二期,2室2厅1厨1卫,92.85㎡,430,46312元/平米,南,有,浦东 周浦 外环外,
汇业公寓,3室1厅1厨1卫,97.31㎡,370,38023元/平米,南,有,浦东 康桥 外环外,
丰舍东苑,2室2厅1厨1卫,87.55㎡,360,41120元/平米,南 北,无,浦东 曹路 外环外,近9号线民雷路站
杉林新月环林东路879弄,2室1厅1厨1卫,73.95㎡,360,48682元/平米,南 北,无,浦东 三林 中环至外环,
绿洲康城亲水湾(中央区),2室1厅1厨1卫,92.55㎡,490,52945元/平米,南,有,浦东 御桥 中环至外环,
安阁苑,2室2厅0厨1卫,78.02㎡,303,38837元/平米,南,无,浦东 周浦 外环外,
齐爱佳苑,2室1厅1厨1卫,81.74㎡,390,47713元/平米,南,无,浦东 唐镇 外环外,近2号线唐镇站
新芳邻,2室2厅1厨1卫,86.67㎡,360,41537元/平米,南 北,无,浦东 曹路 外环外,近9号线顾唐路站
曹路家苑,2室2厅1厨1卫,91.49㎡,448,48968元/平米,南,有,浦东 曹路 外环外,近9号线顾唐路站
新芳邻,2室2厅1厨1卫,87㎡,355,40805元/平米,南 北,无,浦东 曹路 外环外,近9号线顾唐路站
桃园新城中城苑,3室1厅1厨1卫,91.89㎡,360,39178元/平米,南 北,无,浦东 周浦 外环外,
紫晶苑,3室2厅1厨1卫,104.44㎡,438,41938元/平米,南 北,有,浦东 张江 中环至外环,
康桥宝邸,2室1厅1厨1卫,83.54㎡,320,38306元/平米,南,有,浦东 康桥 外环外,
康桥宝邸,3室2厅0厨1卫,101.57㎡,446,43911元/平米,南 北,有,浦东 康桥 外环外,
春港丽园(公寓),3室1厅1厨1卫,86.38㎡,364,42140元/平米,南,无,浦东 张江 内环至中环,
新川苑,2室1厅1厨1卫,94.9㎡,320,33720元/平米,南,无,浦东 川沙 外环外,
金唐公寓,2室1厅1厨1卫,77.89㎡,350,44936元/平米,南,无,浦东 唐镇 外环外,
达城锦园,2室2厅1厨1卫,76.91㎡,310,40307元/平米,南,有,浦东 康桥 外环外,
爱法花园(二期),2室2厅1厨1卫,82.46㎡,380,46083元/平米,南,无,浦东 曹路 外环外,近9号线顾唐路站
保利金爵公寓,2室2厅1厨2卫,89.62㎡,455,50770元/平米,南,有,浦东 唐镇 外环外,
汤巷馨村(二期),2室2厅1厨2卫,87.63㎡,320,36518元/平米,南,无,浦东 康桥 外环外,近11号线(花桥-迪士尼)秀沿路站
河滨城市花园,2室2厅1厨1卫,91.57㎡,450,49143元/平米,南 北,有,浦东 曹路 外环外,近9号线顾唐路站
金领国际(公寓),2室2厅1厨1卫,89.65㎡,339,37814元/平米,南,有,浦东 曹路 外环外,
海尚乐苑,2室1厅1厨1卫,78.27㎡,300,38329元/平米,南 北,有,浦东 康桥 外环外,近16号线周浦东站
惠浦公寓,2室1厅1厨1卫,94.24㎡,380,40323元/平米,南,无,浦东 周浦 外环外,
金领国际(公寓),2室2厅0厨1卫,88.9㎡,318,35771元/平米,南,有,浦东 曹路 外环外,
金领国际(公寓),2室2厅1厨1卫,86.4㎡,328.3,37998元/平米,南,有,浦东 曹路 外环外,
美林小城,2室2厅1厨1卫,91.33㎡,400,43798元/平米,南,有,浦东 康桥 外环外,
康桥宝邸,2室2厅1厨1卫,80.22㎡,330,41137元/平米,南,有,浦东 康桥 外环外,
永泰花苑,2室1厅1厨1卫,71.32㎡,410,57488元/平米,南,有,浦东 三林 中环至外环,
绿地东上海二期,2室2厅1厨1卫,91.57㎡,419,45758元/平米,南 北,有,浦东 周浦 外环外,
金领国际(公寓),2室2厅1厨1卫,86.7㎡,329,37947元/平米,南 西南 西北 北,有,浦东 曹路 外环外,
瀚盛家园,2室2厅0厨1卫,87.15㎡,357,40964元/平米,南,无,浦东 唐镇 外环外,
盛世春晓苑,3室2厅1厨1卫,102.16㎡,450,44049元/平米,南,有,浦东 曹路 外环外,近9号线民雷路站
康桥宝邸,2室2厅1厨1卫,80.04㎡,335,41855元/平米,南,有,浦东 康桥 外环外,
中海御景熙岸(公寓),2室2厅0厨1卫,87.16㎡,440,50482元/平米,南,有,浦东 三林 外环外,
绿波城,2室2厅1厨1卫,86.75㎡,365,42075元/平米,南,无,浦东 唐镇 外环外,近2号线唐镇站
三林世博家园(东书房路390弄),2室1厅1厨1卫,74.05㎡,390,52668元/平米,南,无,浦东 杨思前滩 内环至中环,
恒大华城东林苑,3室2厅1厨1卫,76.8㎡,490,63803元/平米,南,无,浦东 杨思前滩 内环至中环,近8号线杨思站
双秀西园,2室2厅0厨1卫,75.8㎡,313,41293元/平米,南,无,浦东 康桥 外环外,
宜嘉苑,2室2厅1厨1卫,93.5㎡,469,50161元/平米,南,无,浦东 高行 中环至外环,近12号线杨高北路站
金唐公寓,2室2厅1厨1卫,79㎡,323,40887元/平米,南 北,无,浦东 唐镇 外环外,
绿川新苑,2室2厅1厨1卫,99.86㎡,480,48068元/平米,南,无,浦东 北蔡 内环至中环,近13号线陈春路站
瀚盛家园,2室2厅1厨1卫,86.58㎡,345,39848元/平米,南,无,浦东 唐镇 外环外,
绿洲康城亲水湾(东区),2室2厅1厨1卫,90.47㎡,456,50404元/平米,南,有,浦东 御桥 ,
川杨新苑(三期),2室1厅1厨1卫,89.28㎡,399,44691元/平米,南,有,浦东 张江 中环至外环,近13号线张江路站
鑫港苑,2室2厅1厨1卫,92.69㎡,300,32366元/平米,南,无,浦东 唐镇 外环外,
浦发绿城永泰路1960弄,2室1厅1厨1卫,72.93㎡,355,48677元/平米,南,无,浦东 三林 ,近11号线(花桥-迪士尼)浦三路站
果园二村,3室2厅1厨1卫,107.9㎡,425,39389元/平米,南,无,浦东 周浦 外环外,
达城家园,2室2厅1厨1卫,78.46㎡,310,39511元/平米,南,有,浦东 康桥 外环外,
欧风家园,3室2厅1厨1卫,103.74㎡,348,33546元/平米,南 北,有,浦东 周浦 外环外,
舒馨北苑,2室2厅1厨1卫,73.03㎡,321,43955元/平米,南 北,无,浦东 川沙 外环外,
金钻苑北区,2室2厅1厨1卫,81.54㎡,322,39490元/平米,南,无,浦东 曹路 外环外,近9号线曹路站
瀚盛家园,2室2厅1厨1卫,87.3㎡,366.6,41994元/平米,南,无,浦东 唐镇 外环外,
瀚盛家园,2室2厅0厨1卫,86.37㎡,335,38787元/平米,南,无,浦东 唐镇 外环外,
幸福小镇,2室2厅1厨1卫,96.79㎡,465,48043元/平米,南 北,有,浦东 高行 中环至外环,
圣鑫苑,3室2厅1厨2卫,109.19㎡,440,40297元/平米,南 北,有,浦东 周浦 外环外,
华川家园,2室2厅1厨1卫,77.78㎡,308,39599元/平米,南,暂无数据,浦东 川沙 外环外,近2号线凌空路站
浦发绿城浦三路2801弄,2室1厅1厨1卫,73.12㎡,350,47867元/平米,南,无,浦东 三林 中环至外环,近11号线(花桥-迪士尼)浦三路站
华川家园,2室2厅1厨1卫,81.95㎡,305,37218元/平米,南,暂无数据,浦东 川沙 外环外,近2号线凌空路站
幸福小镇,3室2厅1厨2卫,78.3㎡,480,61303元/平米,南,无,浦东 高行 中环至外环,
龚路新城,3室1厅1厨1卫,100.47㎡,335,33344元/平米,南 北,无,浦东 曹路 外环外,
绿地康桥新苑,2室2厅1厨1卫,95.51㎡,395,41357元/平米,南,有,浦东 康桥 外环外,
天和湖滨家园(公寓),2室2厅1厨1卫,97.73㎡,317,32437元/平米,南,有,浦东 川沙 外环外,
浦发绿城西泰林路850弄,2室2厅1厨1卫,81.57㎡,385,47199元/平米,南,无,浦东 三林 ,
三林新村(永泰路133弄),2室1厅1厨1卫,77㎡,400,51949元/平米,南,有,浦东 三林 中环至外环,
昱龙家园,3室1厅1厨1卫,93.65㎡,330,35238元/平米,南 北,无,浦东 康桥 外环外,
爱法花园(一期),2室1厅1厨1卫,87.84㎡,379,43147元/平米,南 北,无,浦东 曹路 外环外,近9号线顾唐路站
中虹家园,3室2厅0厨1卫,88.58㎡,340,38384元/平米,南,有,浦东 曹路 外环外,
杉林新月环林东路799弄,2室1厅1厨1卫,76.6㎡,375,48956元/平米,南,有,浦东 三林 中环至外环,近11号线(花桥-迪士尼)三林东站
海尚康庭,3室1厅1厨1卫,99.07㎡,399,40275元/平米,南 北,无,浦东 康桥 外环外,
绿地康桥新苑,2室2厅1厨1卫,89.68㎡,420,46834元/平米,南 北,有,浦东 康桥 外环外,
齐爱佳苑,2室1厅0厨1卫,81.46㎡,375,46035元/平米,南,无,浦东 唐镇 外环外,近2号线唐镇站
舒馨北苑,2室1厅1厨1卫,74.21㎡,332,44738元/平米,南,无,浦东 川沙 外环外,
金唐公寓,2室1厅0厨1卫,80.45㎡,345,42884元/平米,南,无,浦东 唐镇 外环外,
新高苑(三期),2室2厅1厨1卫,83.38㎡,395,47374元/平米,南,无,浦东 高行 ,
紫晶苑,3室2厅1厨1卫,104.44㎡,435,41651元/平米,南,有,浦东 张江 中环至外环,
